shelter_id,name,lon,lat,capacity,operating,peak_occupancy,final_occupancy,refused_count,utilization,mean_travel_dist_m_admitted
Arbor_Lodge_Shelter,Arbor Lodge Shelter,-122.686753,45.576626,132,true,132,132,1567,1.0000,2765.71
Bybee_Lakes_Hope_Center,Bybee Lakes Hope Center,-122.757778,45.626297,262,true,262,262,3342,1.0000,27467.67
Clark_Center,Clark Center,-122.661942,45.512502,135,true,135,135,227,1.0000,466.58
Gresham_Womens_Shelter,Gresham Women's Shelter,-122.497037,45.522018,135,true,0,0,0,0.0000,
Jeans_Place,Jean's Place,-122.654323,45.523278,90,true,90,90,262,1.0000,380.06
Laurelwood_Center,Laurelwood Center,-122.600281,45.491148,180,true,180,180,486,1.0000,1001.54
River_District_Navigatio,River District Navigation Center,-122.676937,45.530708,150,true,150,150,381,1.0000,996.92
Walnut_Park_Shelter,Walnut Park Shelter,-122.661833,45.562279,108,true,108,108,369,1.0000,1327.67
Willamette_Center,Willamette Center,-122.649327,45.485729,195,true,195,195,684,1.0000,1326.77
Banfield_Motel_Shelter,Banfield Motel Shelter,-122.625558,45.534537,108,true,108,108,155,1.0000,522.53
Delta_Park_Motel_Shelter,Delta Park Motel Shelter,-122.679565,45.590053,114,true,114,114,622,1.0000,2414.66
Roseway_Inn_Motel_Shelte,Roseway Inn Motel Shelter,-122.562494,45.558812,225,true,225,225,909,1.0000,1784.07
Rockwood_Bridge_Shelter,Rockwood Bridge Shelter,-122.477620,45.522979,78,true,2,2,0,0.0256,3874.32
Stark_Street_Motel_Shelt,Stark Street Motel Shelter,-122.474369,45.519541,81,true,0,0,0,0.0000,
Thayer_Family_Foundation,Thayer Family Foundation Veterans Motel Shelter,-122.685370,45.583337,32,true,32,32,5,1.0000,439.01
Arbor_Lodge_Village_Pods,Arbor Lodge Village Pods,-122.686753,45.576626,30,true,30,30,121,1.0000,6651.40
Avalon_Village,Avalon Village,-122.647011,45.504545,16,true,16,16,299,1.0000,780.43
Beacon_Village,Beacon Village,-122.585163,45.527605,16,true,16,16,204,1.0000,580.37
Dignity_Village,Dignity Village,-122.635880,45.590779,99,true,99,99,2706,1.0000,10684.10
Harrison_Community_Villa,Harrison Community Village,-122.578184,45.509737,63,true,63,63,121,1.0000,1045.90
Kenton_Womens_Village,Kenton Women's Village,-122.691841,45.586652,32,true,32,32,4,1.0000,678.12
Oak_Street_Village,Oak Street Village,-122.579609,45.520115,48,true,48,48,139,1.0000,581.50
Parkrose_Community_Villa,Parkrose Community Village,-122.533971,45.534177,16,true,16,16,252,1.0000,484.43
St_Andrews_Village,St Andrews Village,-122.721754,45.582464,16,true,16,16,14,1.0000,793.32
St_Johns_Village,St Johns Village,-122.750203,45.590193,32,true,32,32,169,1.0000,462.67
Lilac_Meadows,Lilac Meadows,-122.583071,45.496970,190,true,190,190,318,1.0000,938.04
Porch_Light_Youth_Shelte,Porch Light Youth Shelter,-122.688141,45.522468,45,true,45,45,277,1.0000,403.99
Street_Light_Youth_Shelt,Street Light Youth Shelter,-122.688141,45.522468,45,true,45,45,57,1.0000,640.69
Behavioral_Health_Resour,Behavioral Health Resource Center,-122.679643,45.521959,50,true,50,50,169,1.0000,356.87
Sunderland_RV_Safe_Park,Sunderland RV Safe Park,-122.635896,45.595053,92,true,92,92,586,1.0000,13229.50
Peninsula_Crossing_SRV,Peninsula Crossing Trail Safe Rest Village,-122.735946,45.583354,99,true,99,99,151,1.0000,1187.05
BIPOC_SRV,BIPOC Safe Rest Village,-122.665928,45.534443,63,true,63,63,268,1.0000,363.46
Queer_Affinity_Village,Queer Affinity Safe Rest Village,-122.677686,45.506081,57,true,57,57,157,1.0000,493.40
Doreens_Place,Doreen's Place (Transition Projects),-122.677480,45.527488,135,true,135,135,674,1.0000,502.05
Menlo_Park_SRV,Menlo Park Safe Rest Village,-122.537593,45.522410,82,true,82,82,637,1.0000,760.60
Reedway_SRV,Reedway Safe Rest Village,-122.606664,45.481822,99,true,99,99,132,1.0000,984.32
NEW_random_site_01,Control clean-air shelter 1 (RANDOM location  site-seed 3),-122.784705,45.506385,350,true,0,0,0,0.0000,
NEW_random_site_02,Control clean-air shelter 2 (RANDOM location  site-seed 3),-122.707885,45.433015,350,true,0,0,0,0.0000,
NEW_random_site_03,Control clean-air shelter 3 (RANDOM location  site-seed 3),-122.618323,45.433815,349,true,12,12,0,0.0344,4381.08
NEW_random_site_04,Control clean-air shelter 4 (RANDOM location  site-seed 3),-122.586132,45.456645,349,true,3,3,0,0.0086,1021.86
NEW_random_site_05,Control clean-air shelter 5 (RANDOM location  site-seed 3),-122.616190,45.428344,349,true,0,0,0,0.0000,
NEW_random_site_06,Control clean-air shelter 6 (RANDOM location  site-seed 3),-122.614642,45.432848,349,true,0,0,0,0.0000,
NEW_random_site_07,Control clean-air shelter 7 (RANDOM location  site-seed 3),-122.792188,45.523536,349,true,0,0,0,0.0000,
NEW_random_site_08,Control clean-air shelter 8 (RANDOM location  site-seed 3),-122.747416,45.441888,349,true,0,0,0,0.0000,
NEW_random_site_09,Control clean-air shelter 9 (RANDOM location  site-seed 3),-122.773256,45.425841,349,true,0,0,0,0.0000,
NEW_random_site_10,Control clean-air shelter 10 (RANDOM location  site-seed 3),-122.515622,45.436207,349,true,0,0,0,0.0000,
