shelter_id,name,lon,lat,capacity,operating,peak_occupancy,final_occupancy,refused_count,utilization,mean_travel_dist_m_admitted
Arbor_Lodge_Shelter,Arbor Lodge Shelter,-122.686753,45.576626,132,true,132,132,203,1.0000,3222.53
Bybee_Lakes_Hope_Center,Bybee Lakes Hope Center,-122.757778,45.626297,262,true,262,262,216,1.0000,41013.42
Clark_Center,Clark Center,-122.661942,45.512502,135,true,135,135,214,1.0000,474.99
Gresham_Womens_Shelter,Gresham Women's Shelter,-122.497037,45.522018,135,true,0,0,0,0.0000,
Jeans_Place,Jean's Place,-122.654323,45.523278,90,true,90,90,244,1.0000,440.39
Laurelwood_Center,Laurelwood Center,-122.600281,45.491148,180,true,180,180,116,1.0000,825.39
River_District_Navigatio,River District Navigation Center,-122.676937,45.530708,150,true,150,150,92,1.0000,1438.38
Walnut_Park_Shelter,Walnut Park Shelter,-122.661833,45.562279,108,true,108,108,79,1.0000,1502.60
Willamette_Center,Willamette Center,-122.649327,45.485729,195,true,195,195,68,1.0000,1440.57
Banfield_Motel_Shelter,Banfield Motel Shelter,-122.625558,45.534537,108,true,108,108,179,1.0000,594.76
Delta_Park_Motel_Shelter,Delta Park Motel Shelter,-122.679565,45.590053,114,true,114,114,8,1.0000,1340.81
Roseway_Inn_Motel_Shelte,Roseway Inn Motel Shelter,-122.562494,45.558812,225,true,225,225,172,1.0000,3965.84
Rockwood_Bridge_Shelter,Rockwood Bridge Shelter,-122.477620,45.522979,78,true,1,1,0,0.0128,3876.19
Stark_Street_Motel_Shelt,Stark Street Motel Shelter,-122.474369,45.519541,81,true,14,14,0,0.1728,24511.29
Thayer_Family_Foundation,Thayer Family Foundation Veterans Motel Shelter,-122.685370,45.583337,32,true,32,32,63,1.0000,2353.55
Arbor_Lodge_Village_Pods,Arbor Lodge Village Pods,-122.686753,45.576626,30,true,30,30,1,1.0000,6929.03
Avalon_Village,Avalon Village,-122.647011,45.504545,16,true,16,16,221,1.0000,756.61
Beacon_Village,Beacon Village,-122.585163,45.527605,16,true,16,16,160,1.0000,288.52
Dignity_Village,Dignity Village,-122.635880,45.590779,99,true,99,99,529,1.0000,16808.52
Harrison_Community_Villa,Harrison Community Village,-122.578184,45.509737,63,true,63,63,93,1.0000,1270.55
Kenton_Womens_Village,Kenton Women's Village,-122.691841,45.586652,32,true,32,32,4,1.0000,735.19
Oak_Street_Village,Oak Street Village,-122.579609,45.520115,48,true,48,48,136,1.0000,620.48
Parkrose_Community_Villa,Parkrose Community Village,-122.533971,45.534177,16,true,16,16,178,1.0000,430.07
St_Andrews_Village,St Andrews Village,-122.721754,45.582464,16,true,16,16,33,1.0000,457.06
St_Johns_Village,St Johns Village,-122.750203,45.590193,32,true,32,32,156,1.0000,503.35
Lilac_Meadows,Lilac Meadows,-122.583071,45.496970,190,true,190,190,262,1.0000,1172.82
Porch_Light_Youth_Shelte,Porch Light Youth Shelter,-122.688141,45.522468,45,true,45,45,157,1.0000,437.31
Street_Light_Youth_Shelt,Street Light Youth Shelter,-122.688141,45.522468,45,true,45,45,0,1.0000,969.66
Behavioral_Health_Resour,Behavioral Health Resource Center,-122.679643,45.521959,50,true,50,50,55,1.0000,297.44
Sunderland_RV_Safe_Park,Sunderland RV Safe Park,-122.635896,45.595053,92,true,92,92,50,1.0000,18588.23
Peninsula_Crossing_SRV,Peninsula Crossing Trail Safe Rest Village,-122.735946,45.583354,99,true,99,99,143,1.0000,1501.14
BIPOC_SRV,BIPOC Safe Rest Village,-122.665928,45.534443,63,true,63,63,233,1.0000,384.53
Queer_Affinity_Village,Queer Affinity Safe Rest Village,-122.677686,45.506081,57,true,57,57,44,1.0000,709.26
Doreens_Place,Doreen's Place (Transition Projects),-122.677480,45.527488,135,true,135,135,52,1.0000,581.39
Menlo_Park_SRV,Menlo Park Safe Rest Village,-122.537593,45.522410,82,true,82,82,361,1.0000,558.78
Reedway_SRV,Reedway Safe Rest Village,-122.606664,45.481822,99,true,99,99,100,1.0000,950.39
NEW_optimized_site_01,Proposed clean-air shelter 1 (optimized location),-122.684239,45.525066,350,true,350,350,119,1.0000,3328.47
NEW_optimized_site_02,Proposed clean-air shelter 2 (optimized location),-122.674314,45.514205,350,true,350,350,52,1.0000,2178.21
NEW_optimized_site_03,Proposed clean-air shelter 3 (optimized location),-122.685357,45.536118,349,true,349,349,94,1.0000,3133.58
NEW_optimized_site_04,Proposed clean-air shelter 4 (optimized location),-122.544555,45.489718,349,true,349,349,131,1.0000,1919.80
NEW_optimized_site_05,Proposed clean-air shelter 5 (optimized location),-122.574416,45.540881,349,true,349,349,562,1.0000,5010.44
NEW_optimized_site_06,Proposed clean-air shelter 6 (optimized location),-122.686929,45.585790,349,true,349,349,321,1.0000,14009.19
NEW_optimized_site_07,Proposed clean-air shelter 7 (optimized location),-122.675258,45.500394,349,true,349,349,77,1.0000,3906.42
NEW_optimized_site_08,Proposed clean-air shelter 8 (optimized location),-122.571918,45.465833,349,true,349,349,374,1.0000,1826.38
NEW_optimized_site_09,Proposed clean-air shelter 9 (optimized location),-122.543241,45.555387,349,true,349,349,361,1.0000,3442.17
NEW_optimized_site_10,Proposed clean-air shelter 10 (optimized location),-122.673484,45.519995,349,true,349,349,241,1.0000,1662.58
