agent_id,sim_id,commit,random_seed,data_version,starting_encampment,shelter_reached,reached_shelter,time_started_tick,time_started_local,time_arrived_tick,time_arrived_local,travel_time_min,total_travel_distance_m,network_dist_to_shelter_m,avg_pm25_ugm3,peak_pm25_ugm3,cumulative_dose_ugm3h,exposure_while_traveling_ugm3h,vwe_ugm3h,hours_above_unhealthy,age,asthma,copd,age_rr,comorbidity_rr,final_state,planned_route_m,snap_gap_m,door_refusals,scenario,walking_speed_mps,age_years,age_band,sex,mobility_limited,mobility_category,asthma_flag,copd_flag,any_respiratory,vulnerable_flag
Site 0,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-190596,,no,4740,2020-09-10T07:00,,,,10536.08,1928.33,173.09,562.70,54002.8192,463.4125,54002.8192,194.0000,37,0,1,1.000,1.000,REFUSED_ALL_FULL,10497.69,38.39,1,A_current_placement,1.5445,37,25-54,MALE,0,unimpaired,0,1,1,1
Site 1,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-167596,,no,4740,2020-09-10T07:00,,,,19005.86,10419.43,173.09,562.70,54002.8192,1125.5867,54002.8192,194.0000,43,0,0,1.000,1.000,REFUSED_ALL_FULL,18988.79,17.06,1,A_current_placement,0.8023,43,25-54,FEMALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 2,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-109654,,no,4740,2020-09-10T07:00,,,,10140.61,1530.32,173.09,562.70,54002.8192,512.1342,54002.8192,194.0000,35,0,0,1.000,1.000,REFUSED_ALL_FULL,10099.68,40.93,1,A_current_placement,1.3837,35,25-54,MALE,0,unimpaired,0,0,0,0
Site 3,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-123950,,no,4740,2020-09-10T07:00,,,,22652.69,14067.21,173.09,562.70,54002.8192,686.6358,54002.8192,194.0000,50,1,0,1.000,1.000,REFUSED_ALL_FULL,22636.57,16.12,1,A_current_placement,1.4069,50,25-54,MALE,0,unimpaired,1,0,1,1
Site 4,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-140497,,no,4740,2020-09-10T07:00,,,,11409.95,2829.49,173.09,562.70,54002.8192,578.0633,54002.8192,194.0000,29,0,0,1.000,1.000,REFUSED_ALL_FULL,11398.85,11.10,1,A_current_placement,1.2571,29,25-54,MALE,0,unimpaired,0,0,0,0
Site 5,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-134632,,no,4740,2020-09-10T07:00,,,,15962.46,7357.09,173.09,562.70,54002.8192,574.7317,54002.8192,194.0000,42,0,0,1.000,1.000,REFUSED_ALL_FULL,15926.45,36.01,1,A_current_placement,1.4101,42,25-54,MALE,0,unimpaired,0,0,0,0
Site 6,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-102239,,no,4740,2020-09-10T07:00,,,,20585.37,12014.75,173.09,562.70,54002.8192,639.9450,54002.8192,194.0000,42,0,0,1.000,1.000,REFUSED_ALL_FULL,20584.11,1.26,1,A_current_placement,1.4250,42,25-54,MALE,0,unimpaired,0,0,0,0
Site 7,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-222052,,no,4740,2020-09-10T07:00,,,,13757.91,5118.40,173.09,562.70,54002.8192,476.4758,54002.8192,194.0000,35,0,0,1.000,1.000,REFUSED_ALL_FULL,13687.76,70.15,1,A_current_placement,1.6056,35,25-54,MALE,0,unimpaired,0,0,0,0
Site 8,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-190339,OCC,yes,4740,2020-09-10T07:00,4753,2020-09-10T07:13,13.0,1458.71,1427.65,17.26,112.10,1367.0500,12.9458,1367.0500,6.2333,40,0,0,1.000,1.000,SHELTERED,1427.65,31.07,0,A_current_placement,1.7758,40,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 9,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-109372,CJ,yes,4740,2020-09-10T07:00,5844,2020-09-11T01:24,1104.0,21062.25,12449.10,53.68,299.55,5228.7292,532.5758,5228.7292,24.4167,45,0,0,1.000,1.000,SHELTERED,21018.46,43.79,0,A_current_placement,1.6865,45,25-54,MALE,0,unimpaired,0,0,0,0
Site 10,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-134250,,no,4740,2020-09-10T07:00,,,,10307.12,1692.52,173.09,562.70,54002.8192,824.9033,54002.8192,194.0000,39,0,0,1.000,1.000,REFUSED_ALL_FULL,10261.88,45.24,1,A_current_placement,0.8529,39,25-54,FEMALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 11,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-167942,,no,4740,2020-09-10T07:00,,,,11259.85,2689.19,173.09,562.70,54002.8192,541.1742,54002.8192,194.0000,40,0,1,1.000,1.000,REFUSED_ALL_FULL,11258.55,1.30,1,A_current_placement,1.3375,40,25-54,FEMALE,0,unimpaired,0,1,1,1
Site 12,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-109429,,no,4740,2020-09-10T07:00,,,,16967.46,8345.40,173.09,562.70,54002.8192,547.3717,54002.8192,194.0000,49,1,0,1.000,1.000,REFUSED_ALL_FULL,16914.76,52.70,1,A_current_placement,1.5060,49,25-54,MALE,0,unimpaired,1,0,1,1
Site 13,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-156113,,no,4740,2020-09-10T07:00,,,,13751.49,5180.88,173.09,562.70,54002.8192,519.0617,54002.8192,194.0000,47,0,0,1.000,1.000,REFUSED_ALL_FULL,13750.24,1.25,1,A_current_placement,1.4825,47,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 14,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-167616,,no,4740,2020-09-10T07:00,,,,14489.26,5918.60,173.09,562.70,54002.8192,495.2933,54002.8192,194.0000,46,0,0,1.000,1.000,REFUSED_ALL_FULL,14487.96,1.30,1,A_current_placement,1.5710,46,25-54,MALE,0,unimpaired,0,0,0,0
Site 15,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-167838,,no,4740,2020-09-10T07:00,,,,12557.24,3967.54,173.09,562.70,54002.8192,870.8733,54002.8192,194.0000,41,0,0,1.000,1.000,REFUSED_ALL_FULL,12536.90,20.34,1,A_current_placement,0.8528,41,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 16,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-102216,,no,4740,2020-09-10T07:00,,,,18990.79,10342.58,173.09,562.70,54002.8192,757.6517,54002.8192,194.0000,25,0,0,1.000,1.000,REFUSED_ALL_FULL,18911.94,78.85,1,A_current_placement,1.1635,25,25-54,MALE,0,unimpaired,0,0,0,0
Site 17,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-140352,,no,4740,2020-09-10T07:00,,,,21945.36,13368.70,173.09,562.70,54002.8192,680.0317,54002.8192,194.0000,60,0,0,1.000,1.000,REFUSED_ALL_FULL,21938.06,7.30,1,A_current_placement,1.3968,60,55-69,MALE,0,unimpaired,0,0,0,1
Site 18,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-119345,,no,4740,2020-09-10T07:00,,,,13747.60,5155.86,173.09,562.70,54002.8192,816.8142,54002.8192,194.0000,76,0,1,1.000,1.000,REFUSED_ALL_FULL,13725.22,22.38,1,A_current_placement,0.9387,76,70+,MALE,0,unimpaired,0,1,1,1
Site 19,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-102239,,no,4740,2020-09-10T07:00,,,,20585.37,12014.75,173.09,562.70,54002.8192,987.6233,54002.8192,194.0000,32,0,0,1.000,1.000,REFUSED_ALL_FULL,20584.11,1.26,1,A_current_placement,0.9469,32,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 20,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-109704,,no,4740,2020-09-10T07:00,,,,25750.56,17094.57,173.09,562.70,54002.8192,730.4942,54002.8192,194.0000,45,0,0,1.000,1.000,REFUSED_ALL_FULL,25663.93,86.62,1,A_current_placement,1.4356,45,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 21,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-149782,,no,4740,2020-09-10T07:00,,,,12533.18,3930.06,173.09,562.70,54002.8192,587.3042,54002.8192,194.0000,39,0,0,1.000,1.000,REFUSED_ALL_FULL,12499.42,33.76,1,A_current_placement,1.2735,39,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 22,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-112831,,no,4740,2020-09-10T07:00,,,,17745.85,9141.43,173.09,562.70,54002.8192,703.5650,54002.8192,194.0000,86,1,0,1.000,1.000,REFUSED_ALL_FULL,17710.79,35.06,1,A_current_placement,1.2027,86,70+,MALE,1,ambulant_impaired_no_aid,1,0,1,1
Site 23,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-190369,,no,4740,2020-09-10T07:00,,,,17463.17,8869.82,173.09,562.70,54002.8192,576.1575,54002.8192,194.0000,50,0,0,1.000,1.000,REFUSED_ALL_FULL,17439.18,23.99,1,A_current_placement,1.4540,50,25-54,OTHER,0,unimpaired,0,0,0,0
Site 24,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-123842,,no,4740,2020-09-10T07:00,,,,20242.28,11665.52,173.09,562.70,54002.8192,600.2908,54002.8192,194.0000,39,0,0,1.000,1.000,REFUSED_ALL_FULL,20234.88,7.40,1,A_current_placement,1.4928,39,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 25,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-212232,,no,4740,2020-09-10T07:00,,,,11098.73,2528.11,173.09,562.70,54002.8192,463.6908,54002.8192,194.0000,40,0,0,1.000,1.000,REFUSED_ALL_FULL,11097.47,1.26,1,A_current_placement,1.5674,40,25-54,MALE,0,unimpaired,0,0,0,0
Site 26,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-109489,,no,4740,2020-09-10T07:00,,,,10268.63,1662.01,173.09,562.70,54002.8192,553.7242,54002.8192,194.0000,49,0,0,1.000,1.000,REFUSED_ALL_FULL,10231.37,37.26,1,A_current_placement,1.2838,49,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 27,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-140449,,no,4740,2020-09-10T07:00,,,,12148.18,3555.62,173.09,562.70,54002.8192,730.2900,54002.8192,194.0000,45,0,0,1.000,1.000,REFUSED_ALL_FULL,12124.98,23.20,1,A_current_placement,1.0103,45,25-54,MALE,0,unimpaired,0,0,0,0
Site 28,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-112930,,no,4740,2020-09-10T07:00,,,,19440.49,10857.92,173.09,562.70,54002.8192,1299.5967,54002.8192,194.0000,25,0,0,1.000,1.000,REFUSED_ALL_FULL,19427.28,13.20,1,A_current_placement,0.7039,25,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 29,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-178708,,no,4740,2020-09-10T07:00,,,,14976.47,6405.83,173.09,562.70,54002.8192,478.7083,54002.8192,194.0000,41,1,0,1.000,1.000,REFUSED_ALL_FULL,14975.19,1.28,1,A_current_placement,1.6547,41,25-54,FEMALE,0,unimpaired,1,0,1,1
Site 30,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-190367,,no,4740,2020-09-10T07:00,,,,17386.23,8774.80,173.09,562.70,54002.8192,674.9275,54002.8192,194.0000,22,0,1,1.000,1.000,REFUSED_ALL_FULL,17344.16,42.06,1,A_current_placement,1.2356,22,18-24,FEMALE,0,unimpaired,0,1,1,1
Site 31,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-123704,,no,4740,2020-09-10T07:00,,,,13520.04,4879.61,173.09,562.70,54002.8192,697.0058,54002.8192,194.0000,46,0,1,1.000,1.000,REFUSED_ALL_FULL,13448.97,71.08,1,A_current_placement,1.0966,46,25-54,FEMALE,1,ambulant_impaired_no_aid,0,1,1,1
Site 32,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-222052,,no,4740,2020-09-10T07:00,,,,13757.91,5118.40,173.09,562.70,54002.8192,545.8933,54002.8192,194.0000,20,0,1,1.000,1.000,REFUSED_ALL_FULL,13687.76,70.15,1,A_current_placement,1.4099,20,18-24,MALE,0,unimpaired,0,1,1,1
Site 33,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-145074,,no,4740,2020-09-10T07:00,,,,22562.04,13991.40,173.09,562.70,54002.8192,839.9800,54002.8192,194.0000,49,0,0,1.000,1.000,REFUSED_ALL_FULL,22560.76,1.28,1,A_current_placement,1.1631,49,25-54,MALE,0,unimpaired,0,0,0,0
Site 34,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-112685,,no,4740,2020-09-10T07:00,,,,21807.73,13237.06,173.09,562.70,54002.8192,913.1958,54002.8192,194.0000,67,0,0,1.000,1.000,REFUSED_ALL_FULL,21806.42,1.30,1,A_current_placement,1.0567,67,55-69,FEMALE,0,unimpaired,0,0,0,1
Site 35,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-112914,,no,4740,2020-09-10T07:00,,,,17356.35,8751.58,173.09,562.70,54002.8192,575.0483,54002.8192,194.0000,50,0,0,1.000,1.000,REFUSED_ALL_FULL,17320.94,35.41,1,A_current_placement,1.4508,50,25-54,MALE,0,unimpaired,0,0,0,0
Site 36,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-109722,,no,4740,2020-09-10T07:00,,,,19120.64,10523.08,173.09,562.70,54002.8192,886.1708,54002.8192,194.0000,45,0,1,1.000,1.000,REFUSED_ALL_FULL,19092.44,28.19,1,A_current_placement,1.0078,45,25-54,MALE,0,unimpaired,0,1,1,1
Site 37,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-156473,CJ,yes,4740,2020-09-10T07:00,5840,2020-09-11T01:20,1100.0,15572.86,6960.21,53.53,299.55,5209.9258,448.0208,5209.9258,24.3500,37,0,0,1.000,1.000,SHELTERED,15529.57,43.29,0,A_current_placement,1.7653,37,25-54,MALE,0,unimpaired,0,0,0,0
Site 38,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-145175,,no,4740,2020-09-10T07:00,,,,17166.00,8563.01,173.09,562.70,54002.8192,1853.5875,54002.8192,194.0000,33,0,0,1.000,1.000,REFUSED_ALL_FULL,17132.37,33.62,1,A_current_placement,0.4618,33,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 39,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-212206,,no,4740,2020-09-10T07:00,,,,25870.88,17200.19,173.09,562.70,54002.8192,868.4883,54002.8192,194.0000,47,0,0,1.000,1.000,REFUSED_ALL_FULL,25769.55,101.34,1,A_current_placement,1.2241,47,25-54,MALE,0,unimpaired,0,0,0,0
Site 40,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-130031,,no,4740,2020-09-10T07:00,,,,14712.95,6121.56,173.09,562.70,54002.8192,575.5242,54002.8192,194.0000,47,0,1,1.000,1.000,REFUSED_ALL_FULL,14690.92,22.03,1,A_current_placement,1.3648,47,25-54,MALE,0,unimpaired,0,1,1,1
Site 41,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-130002,,no,4740,2020-09-10T07:00,,,,15349.60,6766.84,173.09,562.70,54002.8192,555.3475,54002.8192,194.0000,26,1,0,1.000,1.000,REFUSED_ALL_FULL,15336.20,13.40,1,A_current_placement,1.4390,26,25-54,MALE,1,ambulant_impaired_no_aid,1,0,1,1
Site 42,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-123822,,no,4740,2020-09-10T07:00,,,,19980.22,11400.32,173.09,562.70,54002.8192,786.5158,54002.8192,194.0000,37,0,0,1.000,1.000,REFUSED_ALL_FULL,19969.68,10.55,1,A_current_placement,1.1550,37,25-54,MALE,0,unimpaired,0,0,0,0
Site 43,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-222259,,no,4740,2020-09-10T07:00,,,,19886.43,11273.92,173.09,562.70,54002.8192,852.2875,54002.8192,194.0000,62,0,0,1.000,1.000,REFUSED_ALL_FULL,19843.28,43.16,1,A_current_placement,1.0683,62,55-69,FEMALE,0,unimpaired,0,0,0,1
Site 44,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-112542,,no,4740,2020-09-10T07:00,,,,17298.96,8725.04,173.09,562.70,54002.8192,575.0483,54002.8192,194.0000,47,0,0,1.000,1.000,REFUSED_ALL_FULL,17294.40,4.56,1,A_current_placement,1.4478,47,25-54,MALE,0,unimpaired,0,0,0,0
Site 45,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-129942,,no,4740,2020-09-10T07:00,,,,11116.52,2516.79,173.09,562.70,54002.8192,880.9375,54002.8192,194.0000,64,0,0,1.000,1.000,REFUSED_ALL_FULL,11086.15,30.37,1,A_current_placement,0.8135,64,55-69,MALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 46,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-167856,,no,4740,2020-09-10T07:00,,,,12213.68,3621.02,173.09,562.70,54002.8192,629.4267,54002.8192,194.0000,26,0,1,1.000,1.000,REFUSED_ALL_FULL,12190.38,23.29,1,A_current_placement,1.1723,26,25-54,MALE,0,unimpaired,0,1,1,1
Site 47,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-109680,,no,4740,2020-09-10T07:00,,,,13792.75,5073.33,173.09,562.70,54002.8192,498.2667,54002.8192,194.0000,30,1,0,1.000,1.000,REFUSED_ALL_FULL,13642.69,150.06,1,A_current_placement,1.5382,30,25-54,OTHER,0,unimpaired,1,0,1,1
Site 48,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-140193,,no,4740,2020-09-10T07:00,,,,20964.85,12312.66,173.09,562.70,54002.8192,725.5692,54002.8192,194.0000,54,0,0,1.000,1.000,REFUSED_ALL_FULL,20882.02,82.83,1,A_current_placement,1.2787,54,25-54,MALE,0,unimpaired,0,0,0,0
Site 49,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-102075,,no,4740,2020-09-10T07:00,,,,18656.75,10045.44,173.09,562.70,54002.8192,866.9967,54002.8192,194.0000,58,1,1,1.000,1.000,REFUSED_ALL_FULL,18614.80,41.94,1,A_current_placement,1.0166,58,55-69,FEMALE,1,ambulant_impaired_no_aid,1,1,1,1
Site 50,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-190594,,no,4740,2020-09-10T07:00,,,,21292.55,12709.12,173.09,562.70,54002.8192,2573.0958,54002.8192,194.0000,36,1,0,1.000,1.000,REFUSED_ALL_FULL,21278.48,14.07,1,A_current_placement,0.4305,36,25-54,FEMALE,1,ambulant_impaired_no_aid,1,0,1,1
Site 51,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-167656,,no,4740,2020-09-10T07:00,,,,10769.58,2178.04,173.09,562.70,54002.8192,623.4275,54002.8192,194.0000,31,1,1,1.000,1.000,REFUSED_ALL_FULL,10747.40,22.18,1,A_current_placement,1.1473,31,25-54,MALE,0,unimpaired,1,1,1,1
Site 52,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-134629,,no,4740,2020-09-10T07:00,,,,19864.45,11265.04,173.09,562.70,54002.8192,598.5317,54002.8192,194.0000,68,0,0,1.000,1.000,REFUSED_ALL_FULL,19834.40,30.06,1,A_current_placement,1.4876,68,55-69,MALE,0,unimpaired,0,0,0,1
Site 53,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-109419,,no,4740,2020-09-10T07:00,,,,11261.38,2690.73,173.09,562.70,54002.8192,556.2725,54002.8192,194.0000,51,0,0,1.000,1.000,REFUSED_ALL_FULL,11260.09,1.29,1,A_current_placement,1.3038,51,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 54,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-119269,,no,4740,2020-09-10T07:00,,,,17912.75,9315.02,173.09,562.70,54002.8192,642.0217,54002.8192,194.0000,39,0,0,1.000,1.000,REFUSED_ALL_FULL,17884.38,28.37,1,A_current_placement,1.3160,39,25-54,MALE,0,unimpaired,0,0,0,0
Site 55,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-145088,,no,4740,2020-09-10T07:00,,,,15974.61,7255.41,173.09,562.70,54002.8192,517.7408,54002.8192,194.0000,34,0,0,1.000,1.000,REFUSED_ALL_FULL,15824.77,149.84,1,A_current_placement,1.5659,34,25-54,MALE,0,unimpaired,0,0,0,0
Site 56,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-178829,,no,4740,2020-09-10T07:00,,,,17085.50,8475.51,173.09,562.70,54002.8192,756.2108,54002.8192,194.0000,45,0,0,1.000,1.000,REFUSED_ALL_FULL,17044.87,40.63,1,A_current_placement,1.1055,45,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 57,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-145507,,no,4740,2020-09-10T07:00,,,,21518.43,12720.28,173.09,562.70,54002.8192,844.0167,54002.8192,194.0000,20,0,0,1.000,1.000,REFUSED_ALL_FULL,21289.64,228.79,1,A_current_placement,1.1265,20,18-24,FEMALE,0,unimpaired,0,0,0,0
Site 58,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-119277,,no,4740,2020-09-10T07:00,,,,16059.01,7469.44,173.09,562.70,54002.8192,536.2800,54002.8192,194.0000,58,1,0,1.000,1.000,REFUSED_ALL_FULL,16038.80,20.21,1,A_current_placement,1.5126,58,55-69,MALE,0,unimpaired,1,0,1,1
Site 59,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-109299,,no,4740,2020-09-10T07:00,,,,11030.53,2430.15,173.09,562.70,54002.8192,527.7892,54002.8192,194.0000,26,0,0,1.000,1.000,REFUSED_ALL_FULL,10999.51,31.02,1,A_current_placement,1.3695,26,25-54,MALE,0,unimpaired,0,0,0,0
Site 60,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-112521,,no,4740,2020-09-10T07:00,,,,21154.02,12556.18,173.09,562.70,54002.8192,799.8475,54002.8192,194.0000,49,0,0,1.000,1.000,REFUSED_ALL_FULL,21125.54,28.48,1,A_current_placement,1.1753,49,25-54,FEMALE,0,unimpaired,0,0,0,0
Site 61,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-102382,,no,4740,2020-09-10T07:00,,,,11098.53,2516.96,173.09,562.70,54002.8192,534.4817,54002.8192,194.0000,35,0,0,1.000,1.000,REFUSED_ALL_FULL,11086.32,12.21,1,A_current_placement,1.3555,35,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1
Site 62,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-129797,,no,4740,2020-09-10T07:00,,,,11035.60,2464.96,173.09,562.70,54002.8192,498.5883,54002.8192,194.0000,43,0,0,1.000,1.000,REFUSED_ALL_FULL,11034.32,1.27,1,A_current_placement,1.4566,43,25-54,MALE,0,unimpaired,0,0,0,0
Site 63,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-109544,CJ,yes,4740,2020-09-10T07:00,5842,2020-09-11T01:22,1102.0,14419.63,5825.08,53.60,299.55,5219.3275,446.5575,5219.3275,24.3833,43,0,0,1.000,1.000,SHELTERED,14394.45,25.19,0,A_current_placement,1.7409,43,25-54,MALE,0,unimpaired,0,0,0,0
Site 64,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,26-129877,,no,4740,2020-09-10T07:00,,,,18273.23,9663.34,173.09,562.70,54002.8192,760.2642,54002.8192,194.0000,21,1,0,1.000,1.000,REFUSED_ALL_FULL,18232.70,40.53,1,A_current_placement,1.1356,21,18-24,MALE,0,unimpaired,1,0,1,1
Site 65,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-123753,,no,4740,2020-09-10T07:00,,,,14413.73,5790.94,173.09,562.70,54002.8192,522.1250,54002.8192,194.0000,28,0,1,1.000,1.000,REFUSED_ALL_FULL,14360.30,53.43,1,A_current_placement,1.4883,28,25-54,MALE,0,unimpaired,0,1,1,1
Site 66,sim-20260725-233016-seed43,6616232434c84b43ee9551f9ba3f5419cf021cb3,43,0bc943324ae6,25-112997,,no,4740,2020-09-10T07:00,,,,11175.89,2585.74,173.09,562.70,54002.8192,738.4350,54002.8192,194.0000,39,0,0,1.000,1.000,REFUSED_ALL_FULL,11155.10,20.78,1,A_current_placement,0.9747,39,25-54,MALE,1,ambulant_impaired_no_aid,0,0,0,1
